"GEOID","med_income","x","y","areas","adjusted_rate"
1005,32964,-85.3934303280255,31.8694963770836,0.00616464419974452,87.7414325334306
1023,33536,-88.2633024905922,32.0194953142765,0.00627751179644239,87.7529890052348
1035,24900,-86.9936921367728,31.4291887775176,0.00581357232374038,85.9656935792411
1051,53555,-86.1491506202341,32.5966430781751,0.00447770503864917,83.1787119424588
1065,32714,-87.6292098788909,32.7624767501161,0.0044719283370989,89.2451000605128
1109,32825,-85.9409034538606,31.8026766974963,0.00458723991688318,84.1483503042389
1113,37049,-85.1849311362847,32.2883426213301,0.00441147592478094,84.205568460702
1117,70187,-86.6608582523585,33.2642210457612,0.00551565893401205,82.8296000011395
2016,84306,-173.822640103767,52.9548976931367,0.0307635743789456,61.0135394221943
4015,38488,-113.76210080899,35.6974876271297,0.0916746331074421,76.2190220285071
5011,33701,-92.1624145918674,33.466236855717,0.00444849504624598,83.6914504096624
5015,36897,-93.538097983379,36.3409832291916,0.00434819595714819,80.1312760976957
5019,35031,-93.1761268104865,34.050842024502,0.00601470562705389,83.1361867328922
5025,43158,-92.1851119459776,33.8982971991887,0.00407903995178343,72.4684574798486
5063,36265,-91.5697188922564,35.7415111104223,0.00525477566633179,83.819371928314
5067,31261,-91.2146832955561,35.5991071471659,0.00436822309150522,85.0317286757364
5091,40317,-93.891598161055,33.3118702491648,0.00434503886251173,80.6630112794113
5139,38678,-92.5970959223491,33.1714107850815,0.00719201865580777,84.3017313775499
6001,75619,-121.888957880893,37.6466160206378,0.00512443681454877,72.5225929459747
6003,52917,-119.820611098346,38.5970509229683,0.00505684146122432,72.5102380925004
6023,42197,-123.876163827451,40.6971335186593,0.0245621398465738,75.1552285820645
6033,35578,-122.752558233982,39.0990442287159,0.00904622172364244,74.0522687732104
6037,56196,-118.224987008247,34.3196753541732,0.0279371381872491,67.9848457374756
6057,56521,-120.769226156009,39.301713837339,0.0066284258378804,78.5126812165532
6081,93623,-122.328747418216,37.4226938016434,0.00312014089238741,70.6297768116628
6085,96310,-121.694969342618,37.2319015047089,0.00885719759212149,73.1893529622409
6115,46892,-121.351807346819,39.2687533161541,0.00438207352092743,81.5412901564466
8013,70961,-105.35773797979,40.0924780364032,0.00503817240294771,79.4849554909161
8029,42452,-107.86320892032,38.861395926658,0.00781601547127513,73.9110130827564
8059,70164,-105.250645745571,39.5858789139368,0.00526651242448309,75.8096700744947
8091,61624,-107.769090625869,38.1553684425167,0.00369023630006873,81.7157091751514
9009,61640,-72.93186311436,41.4102654380587,0.00422606435544003,79.0643513897976
11001,70848,-77.0162772149704,38.9047176506494,0.000464885116296917,67.2629385021723
12009,48925,-80.732047257675,28.2929930143419,0.0088321718463184,82.0019409856539
12039,35567,-84.6136216014159,30.5795023858967,0.0036037765961594,75.7391649051543
12055,35093,-81.3410344724775,27.3431598332099,0.00754448193660664,82.0952969938794
12065,43355,-83.8954906485523,30.4373319411739,0.00417792645778172,75.7819788377332
12073,46745,-84.2780791963164,30.4580243949162,0.00478429244103375,75.8412672759367
12107,31715,-81.7442229038048,29.60859028302,0.00563856019562084,79.2770194193998
12117,57010,-81.2362715975038,28.7169913123026,0.00235514930073653,81.9482420892768
12123,36181,-83.603297513769,30.0468616261887,0.00718308907705363,78.0053053682627
12133,38970,-85.6654037268186,30.6105472650728,0.00419963911718233,82.1005007183932
13009,32460,-83.2495354067843,33.0692577574748,0.00182842570792769,85.134681140765
13013,52012,-83.712707305815,33.993193330524,0.00110980581065732,82.6199844061548
13027,32663,-83.5801795811709,30.8418878194725,0.00339267119679933,83.5827432050632
13073,71021,-82.2640268915447,33.5440841789622,0.0020956156520127,76.4219675562412
13103,63100,-81.341296595816,32.367187795309,0.00329209015982625,85.3455779042519
13149,41525,-85.1283267609408,33.2970095323987,0.00205230031096404,77.1805203199775
13179,42201,-81.4943938047738,31.8280555722648,0.00368990730155629,82.1149160555798
13189,36656,-82.4812851864741,33.48278786119,0.00181524956886319,76.8753095381998
13205,31915,-84.1943840882618,31.2252850249262,0.00350336675793855,85.0939933490753
13229,40247,-82.2127627347264,31.3587521041835,0.00234026714847553,83.0739480810292
13267,33980,-82.0580285137681,32.0456618538421,0.00332746032216633,82.8093610871445
13291,40799,-83.9907474003772,34.8340335812969,0.00224154750684652,83.9809725415413
13305,38955,-81.9165781304938,31.55136388938,0.00442177729051665,81.3335170367254
13319,38485,-83.1711998176255,32.802327749345,0.00307968946154021,82.6325139321753
15007,65101,-159.596628173551,22.0396739621958,0.00431118989281028,74.5474514590897
16015,44238,-115.730963502896,43.9891372139757,0.0129608775799833,71.9987360704108
16025,42614,-114.805607806338,43.4628790631776,0.00733558396104154,68.9646308012789
16033,33672,-112.352228711936,44.2841738556428,0.0119993388377313,71.5728390416933
16039,43848,-115.469797017697,43.3527104125354,0.0210769851032597,75.7909776526541
16041,48133,-111.813326493609,42.1811235594449,0.00454448530848638,72.5677204318805
16043,47988,-111.482595286868,44.2284368618576,0.0128837682016578,80.8236990780854
16061,36505,-116.426561034379,46.2369953231522,0.00325962458822547,36.4831814240473
16085,48384,-115.567291299373,44.7662214409965,0.0253762017160411,78.1722516754853
17003,27265,-89.3374737850793,37.1914166467056,0.00171995092627837,84.4361762247172
17031,55251,-87.8160486945859,41.8395330036993,0.00651600935972801,76.1523478687185
17043,79658,-88.0856153662051,41.8518884791033,0.00228728962837946,79.3396240399756
17097,78026,-88.0036160320084,42.3232664553503,0.00320097014618391,80.2756371224661
17115,47176,-88.9616356255081,39.8598668378171,0.00398612780432485,87.0766715869505
17161,48817,-90.5679877417127,41.4673703709047,0.00306877083834535,87.1303198427676
17197,76101,-87.9783695321645,41.4449491911207,0.00577709947865726,81.2076196585936
18027,47342,-87.0720732254467,38.7022831204735,0.00297301240143966,85.9142536540915
18061,52128,-86.111397688125,38.1951202999376,0.00331005916313226,82.6924065619523
18123,47470,-86.6380310550913,38.0795453217632,0.00262976920211809,77.2878659414948
18147,55247,-87.0079367350522,38.0141139175848,0.0027309849953913,84.6778952108654
18157,45932,-86.8940581248442,40.3885300863857,0.00342295379702228,83.2082514443233
19041,50389,-95.1509345306633,43.0824959806135,0.00389339603601805,86.8265101112017
19045,50498,-90.5319798122794,41.8981268718548,0.0048298101033677,85.1806322101271
19111,43312,-91.479254366818,40.6419073826173,0.00366510749979695,84.8998968147791
19135,46304,-92.8689988111591,41.0297938854408,0.00295445901534172,79.4470003849942
20025,42589,-99.8202763545738,37.235373461647,0.00665427213322645,85.2234229184555
20067,55432,-101.308035337068,37.562226472956,0.00391634250229298,80.4883257240549
20095,50844,-98.1363387125621,37.5589168307372,0.00589997176387135,69.233427903064
20199,47279,-101.763616412553,38.9165825542338,0.00621899070257579,92.1113923088459
21007,42244,-88.9992505553305,37.0584336360516,0.00186248327582072,86.8393804780778
21017,45208,-84.2171547322689,38.2067242798616,0.00198465504547836,76.4487565749374
21031,33536,-86.6817456825348,37.2072530409224,0.0029381912300553,80.6181757728461
21065,29770,-83.9643064596554,37.6924127402344,0.00174039575311924,85.1215406861652
21069,35469,-83.6965663048589,38.3701022142919,0.00239117863491899,75.9883901177694
21099,34774,-85.884689446462,37.2999076527396,0.00284427193847739,83.5877835542058
21125,36020,-84.1178376899027,37.1106077880998,0.00302060736861549,84.007298724286
21127,35935,-82.7347052710112,38.0678141688806,0.00285904057995279,82.1979702662496
21131,25872,-83.3811324432389,37.093970026782,0.00275360210965525,78.0122121552815
21151,42390,-84.2779733270597,37.7201047039032,0.00301729988158855,83.2995540775459
21179,49298,-85.4661400002262,37.8050796794827,0.00288672966716327,83.0555878525866
21189,20985,-83.6830575957152,37.4191987592396,0.00134986480096745,81.5628941135004
21195,33183,-82.3959227909882,37.4689910325738,0.00536996759523916,84.049263219484
21217,33340,-85.3279016846501,37.3664681323998,0.00188551756602353,85.6480053361793
21239,58750,-84.7435860840677,38.0422953364455,0.00130708958362753,83.2512760738052
22011,45969,-93.3435309276854,30.6484230122466,0.00794686966816733,83.7625601126274
22013,32876,-93.0559910468374,32.3471373214038,0.00560166225469166,84.3965833597874
22021,33294,-92.1165301543463,32.0922566366422,0.00368447331115213,87.9222299684539
22029,29654,-91.6402164632572,31.4455220258466,0.00509322650222425,80.3863221458725
22033,49285,-91.0955956374544,30.5381519000644,0.00320607474896884,80.2464797487443
22069,31345,-93.0961426422031,31.7231679158935,0.00885318539365132,80.3455668803715
22075,50314,-89.6086084530392,29.4403366127439,0.00813333462377706,74.5952738228371
22077,43825,-91.600639777673,30.7092463917192,0.00402740265963093,84.0036508710718
22083,36421,-91.7637179967385,32.4177422853758,0.00384725726053602,87.7183658825907
22087,42753,-89.5552056449015,29.8692386737883,0.00421210919395466,69.1054950903343
22099,42794,-91.6075271817624,30.1289200811428,0.00556674962615411,82.546086617027
23015,50462,-69.5436176149849,44.0662020166927,0.0035090260544201,81.1602516422751
24003,89860,-76.6050329939136,39.0062718182142,0.00305838029092409,81.0288295284267
24033,74260,-76.8472674625274,38.8293098327728,0.00339453766087406,72.1995795523924
24043,56228,-77.8137408537038,39.603634574093,0.00318031474206045,81.117855975325
25011,55221,-72.5916935425769,42.5831267319429,0.00492581672945154,82.1199869246709
25017,85118,-71.3916596216258,42.485386707484,0.00576018327180112,80.576237274993
26099,54582,-82.932316387877,42.6953390276713,0.00329436980638235,80.4760797156381
26135,33021,-84.1297495293362,44.6816636717767,0.00388381643308345,85.2294642490222
26147,49730,-82.6802965642691,42.9337752443083,0.00507745448710102,81.0648963850042
26153,34118,-86.1998563225068,46.1962260674926,0.00830387515645715,85.8863990164064
27053,65834,-93.4767315700052,45.0044734078534,0.00412203196602142,74.104722315071
27077,42263,-94.9043944838209,48.7692329600846,0.0120492024042489,79.2569514788238
27089,54092,-96.36847435259,48.3587498056164,0.0123103117503851,84.8728309530412
27101,51983,-95.7632731139728,44.0221292248395,0.00489208403680359,76.7845871853197
27129,52149,-94.9468887875446,44.7268772933992,0.00670833622691102,80.4764892600921
27139,87794,-93.5360416537044,44.6484623875174,0.00250329595662981,75.5225606121457
28007,32886,-89.5816423720534,33.0862299276942,0.00502017511481615,86.4004167027674
28105,32485,-88.8793313057308,33.4249384844157,0.00314670486269094,88.2221198384092
28143,31211,-90.3755682782465,34.6518339131421,0.00327460942590161,83.3028075069983
28163,28961,-90.3965187173529,32.7803661011784,0.00636758739088399,83.3186228027721
29023,35738,-90.4064922590526,36.7163022537337,0.00476024352464894,85.3643568560508
29029,44816,-92.7658368705476,38.0270370968423,0.00482320606662698,47.5773480178572
29031,46050,-89.6845232099501,37.383891149584,0.00399151913834358,86.2173868709223
29033,42415,-93.5052012148953,39.426932753383,0.00477270903999035,83.1018092176116
29157,51499,-89.8243942387776,37.7071812514667,0.00329604558504722,81.3669388936018
29189,59755,-90.4435703636482,38.6404532353794,0.00356209618792368,77.225721299909
29199,39772,-92.1470676216186,40.4525442049975,0.0029889270695021,86.7763286425477
29207,38203,-89.9443047191009,36.8554692588872,0.00564404879328318,85.5934299032254
30013,45205,-111.346568390156,47.3077761790151,0.0184167824333089,83.2393104319987
30015,38521,-110.435411846322,47.8806573026561,0.0271425927718472,84.6235045286788
30023,39399,-113.068542257088,46.0606734560312,0.00503628784258055,33.1305392651536
30029,47851,-114.047096726407,48.2941473670166,0.0356905419127071,76.8797120918711
30047,38732,-114.089323447097,47.6451494154803,0.0112332669629824,63.1385951472423
30057,46250,-111.919253579397,45.2997095026959,0.0244876388867327,75.1842556646388
30077,40000,-112.933168529383,46.8542384985309,0.0158431629087106,71.1577191517402
30087,51159,-106.727598926646,46.2264978008505,0.0341417979952099,79.1034362117984
30105,49141,-106.668786501059,48.3636773476985,0.0343686476203132,83.4613681723987
31059,52316,-97.5964989488553,40.5245834564255,0.00392198575762518,89.3316808839126
31113,48281,-100.48284188314,41.5664345403158,0.00388452766998508,84.5493677205513
31171,51000,-100.55578240787,41.9135580313833,0.00485601829580033,83.9502259816657
34007,62185,-74.9595692944014,39.8034417711724,0.00154619858093474,79.3802247599712
34013,53976,-74.246821016965,40.7870490149276,0.000881840663693937,71.3154913829792
34019,105444,-74.912253735933,40.5671647494004,0.00297607413408486,78.1657857161511
34023,79593,-74.4118873598763,40.4390192334875,0.00215863456785328,72.0734105480203
34041,70471,-74.9971826688866,40.8570682183275,0.00246764312943023,79.1762003218809
35021,33393,-103.819190363196,35.85771857623,0.0144770337697242,82.6135291098053
35051,29356,-107.19260568004,33.1307976483006,0.0288705463202062,70.4211561841835
36013,42993,-79.366623688458,42.2280102727245,0.007377075582489,82.9194195683024
36019,49930,-73.6781941029347,44.7458994335535,0.00759372889331336,83.2790273635253
36029,51247,-78.7325122037894,42.7635567890203,0.00716749818820578,76.3188612142038
36043,46229,-74.9624210999189,43.4176963243581,0.00991193759579218,81.9828085556451
36053,54145,-75.6693326084237,42.9126628427246,0.0044961644332114,82.2504042093181
36065,48246,-75.4358463430544,43.2414700584215,0.00855015702635958,81.5968917803878
36077,48588,-75.0329456265802,42.6336301846398,0.0069063165491895,81.5489130268312
36081,57720,-73.820262195635,40.7022406482659,0.000851862488366022,67.0721266542708
36115,51143,-73.4307531493882,43.3129909331536,0.00575048954392725,82.1778314321152
37027,35763,-81.5464333887042,35.9529197157198,0.00322960612375169,83.105427146459
37055,54496,-75.7978360990453,35.7792519471624,0.00282122198400708,84.2147328475043
37059,51527,-80.5444616449961,35.9291223321376,0.00181717527581174,86.8775444981009
37069,42685,-78.2856564851863,36.082723612975,0.0033673726928271,85.2102858691777
37083,32245,-77.6515774388881,36.2574500832303,0.00497887980058295,86.9694038206881
37087,42257,-82.9820914134296,35.5559219003286,0.00377744773238883,84.8181711625661
37093,41542,-79.2370763048456,35.0172976926538,0.00267181884155812,86.7217954209626
37111,35965,-82.0487482812733,35.6811880298293,0.00303697351225183,80.0375996394894
37121,37391,-82.1633473594743,36.0132737448671,0.00151297696849745,82.5855037504404
37127,42713,-77.9866692295397,35.9671172821692,0.00369600223233794,88.5481424710222
37155,30608,-79.1035744913616,34.6399346126033,0.00647802227337223,85.7077074890254
37175,45114,-82.798355920234,35.2020633595823,0.00259191987115045,49.1695562772658
37199,37484,-82.3074959963896,35.8988435082892,0.00213287206112342,80.4077724610153
38037,44559,-101.639368893421,46.3579625012719,0.0113180280339222,80.8891412986766
38085,38068,-101.041291031147,46.1129453053859,0.00766479682518058,66.8072687194127
38099,49411,-97.7213108301342,48.3697642787601,0.00878681179700844,86.6186808732723
38105,88013,-103.480473147105,48.3436352687412,0.0145847207194601,81.7628745110059
39035,44190,-81.6587800156834,41.4244591213006,0.00312486356073357,77.5293951244463
39039,50663,-84.4903897590434,41.3239824979639,0.00281673592674872,78.8790509318568
39043,48011,-82.6195929552183,41.3647071613795,0.00175984788699416,81.9264006605403
39125,45550,-84.5801844394502,41.116618744692,0.00284884201841481,55.5937365577699
40065,41560,-99.4150069767911,34.5879384992859,0.00547839072891989,83.1676865864379
40079,36490,-94.7035665347621,34.8997852427748,0.0109550774087995,75.1868502917359
40145,55715,-95.5211176135276,35.9610789016524,0.00402228446269448,80.6500415699659
41005,65965,-122.220785546933,45.1881318462462,0.0127913257817274,76.6636350711828
41021,44293,-120.210730148073,45.3774503785518,0.00830820504930325,80.2896506113788
41035,40336,-121.649160264926,42.683589074105,0.0417236606715337,77.1744997697652
41039,44103,-122.846640656216,43.9395440082599,0.0313955496502849,79.6190003854264
41043,45644,-122.53428658169,44.4889562690134,0.01570038858496,66.520458634676
41045,35418,-117.622979066344,43.1862317484621,0.0675077905748451,83.9194636940539
41051,54102,-122.414833694953,45.5472260223052,0.00316172904520634,73.3813469958512
41055,38362,-120.689417808901,45.404765344571,0.00564799191016751,74.263389896713
42035,45078,-77.6376543721558,41.2340185452767,0.00610192287195082,81.9865254438007
42059,46661,-80.2229121056826,39.8538682197921,0.00393150382528006,80.7007779051654
42063,45195,-79.0877829790405,40.6518749551779,0.00567579284230365,78.4018263381011
42067,47398,-77.4026756619942,40.5310576388251,0.00267689419708331,85.9825827239462
42091,80675,-75.367034322229,40.2107813874785,0.00331468129827768,80.1105341190121
42111,44587,-79.0285248700808,39.9722654930697,0.00735471937097034,79.0610468836155
